,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29,Brazil,BRA,4.3879494474561795,1.3898964009563741,3.053461859093119,1.1408289982488782,5.75996463670954,3.2021320613043116,3.9619887112261694,6.0698706067833825,5.094195446587364,-0.12581200216116883,7.5282258181536434,3.9744230794470212,1.9211759857653732,3.004822669444323,0.5039557402422474,-3.545763392694255,-3.275916907821923,1.3228690540439914,1.7836667616339952,1.2207778236084152,-3.276758796473601,4.762604379086085,3.0166943539301485,2.9084804866777745,
30,Barbados,BRB,4.447189623224716,-2.3654642223541344,0.7874015748031411,2.1754807692307594,1.4115986354550358,3.955457603525531,6.07054563713541,2.079183889177301,0.6334610593100081,-5.017275959496473,-2.2177104367778497,-0.7314345586501076,-0.3133111510796027,-1.0103818461817156,0.08240547781402086,-0.8460985213563248,1.7919303343126671,0.1284460015703104,-1.174065093738193,0.6525854176984183,-15.05436294958919,-0.2549658802165311,17.832863025132696,4.093820109705717,
31,Brunei Darussalam,BRN,3.4746762502411173,1.466060511238922,3.9614391172999177,3.583428925758426,0.10453844016748803,-0.003925188719804851,4.098412609781207,-3.763623475704179,-3.900710820856588,-1.9002538618213123,2.7413643351482193,3.7444063872803923,0.9131353244142559,-2.12478318620758,-2.507887216304809,-0.39238348793352884,-2.477917765204566,1.3287265131818344,0.0523710544736673,3.868844164328891,1.1335734060540261,-1.590762480754364,-1.6283315402236553,1.4070683232793755,
33,Botswana,BWA,1.9876958337855228,0.250573949689084,6.069530876483171,4.625894749592987,2.7058217061117347,4.556645653231811,8.36387109282306,5.7925557772711755,3.2520729579683234,-14.144234616342331,10.122209117973242,6.83852974803483,-0.17090076145689181,11.10282377797705,5.694777381859524,-4.851335640361668,7.204424759142668,4.114363663418601,4.188093553736977,3.032202574456605,-8.728752526390366,11.920636508511677,5.486028177971832,2.7337981703275744,
34,Central African Republic,CAF,-2.489432440288738,4.464739026408665,3.616542191505957,-5.397485218558771,5.994884227986958,0.9082105148719535,4.7710854304410475,4.607534854520253,2.054130962004848,8.58726042640994,4.63081843223307,4.19461533741989,5.053761253569178,-36.39197709838867,0.08107051532648768,4.3371210302023115,4.750316841223423,4.52727821346231,3.7894435927546226,3.0999999999999943,0.899999996857062,0.9829199962642292,0.5021100034270347,0.8702514508427583,
35,Canada,CAN,5.138539185930256,1.8750981321680342,2.9992553495693954,1.8063851348452147,3.0923638345656173,3.210454356512031,2.637943800410696,2.0499046110900423,0.9954063099935979,-2.9150862394973274,3.0908063740360205,3.1371943897366066,1.7556613254060096,2.3258135739347807,2.873466771849948,0.6499709937091325,1.0385509349179785,3.033834902607893,2.7429634311255455,1.9084319253882995,-5.038233441283509,5.286956891058892,3.8198663391339664,1.2489273040339128,
36,Central Europe and the Baltics,CEB,3.953835505261935,3.00665160326119,3.5436344417083063,4.012611993187917,5.878864410437075,4.909186278051521,6.642387260296175,6.332298444759758,3.963219990376871,-3.6078809538229137,1.539308058722284,3.595921526230427,0.845589815394689,0.6466845675672062,3.252140176600406,4.0063923158074175,2.7841503676962986,5.121376974807234,5.040763787711526,4.0059928219051955,-3.329068508426431,6.5321501300707325,4.067238250679381,0.6398308526549528,
37,Switzerland,CHE,3.958719719335164,1.5756619674415617,-0.07321708404265337,-0.03239847653777872,2.701709209670284,2.749698984984846,4.0736284499427455,3.916375817781798,2.8079836316869233,-2.297374630715453,3.243397335501726,1.8131081920369496,1.1792538332510816,1.792144057074836,2.349881275086261,1.6446276869928482,2.068689667099605,1.3627995571141582,2.860445794616325,1.1419823250527656,-2.1417372065005367,5.391888041414731,2.5683281783406926,0.7160668686958331,
39,Chile,CHL,4.971621488500304,3.1540349243740025,3.2027991398553297,4.723245266811162,6.674254167459722,5.837045715257446,6.049990829043821,5.168230987224291,3.7893928023371046,-1.1180372326977022,5.851651017309493,6.223896786938511,6.155340020964587,3.308508244691126,1.7926494736180558,2.151942498536343,1.753038745533047,1.3576953779721066,3.990029475216758,0.6343675338284385,-6.143474792240923,11.333957069191115,2.058740080953328,0.2187806669015515,
40,China,CHN,8.490093405976467,8.33573347817196,9.133630789666142,10.0380304810393,10.11362137762633,11.39459180989266,12.720955665403181,14.230860933195544,9.650678919393613,9.398725632596737,10.635871064491312,9.550832178775678,7.863736448621111,7.76615009773009,7.425763656324122,7.041328878736564,6.848762204957609,6.947200793316853,6.7497738324959045,5.950500753674135,2.238638356346385,8.448469416872769,2.950669929592678,5.249557863877911,
