Date,Argentina,Australia,Brasil,Canada,China,France,Germany,India,Italy,Japan,Mexico,South Korea,Turkey,USA
2003-05-16,1.16606,0.95965,1.10025,0.98606,1.16466,0.9329,0.94674,0.91655,0.98198,0.93159,1.03528,0.91616,0.99508,1.01646
2003-05-20,1.11552,0.95458,1.06032,0.98461,1.15048,0.89627,0.89918,0.91845,0.95107,0.92496,1.00869,0.90306,1.00673,0.99001
2003-05-21,1.1444,0.95688,1.08436,0.98378,1.14895,0.89749,0.89548,0.9167,0.94299,0.92026,1.01221,0.9008,1.01773,0.99398
2003-05-22,1.18773,0.9643,1.08993,0.99152,1.15841,0.90437,0.9075,0.91181,0.95906,0.92406,1.02801,0.89301,1.03262,1.00308
2003-05-23,1.1787,0.97473,1.09343,0.99204,1.16953,0.90247,0.89408,0.91452,0.96305,0.93934,1.04002,0.91721,1.06749,1.00453
2003-05-27,1.19856,0.96992,1.102,1.00042,1.17507,0.90069,0.91016,0.92415,0.97535,0.93193,1.05003,0.92139,1.07064,1.02419
2003-05-28,1.22383,0.97831,1.10599,0.99984,1.16268,0.9188,0.92471,0.9387,0.99042,0.94501,1.05272,0.94248,1.10428,1.02606
2003-05-29,1.21661,0.98069,1.11522,0.9999,1.17493,0.9249,0.92065,0.94883,0.99659,0.96121,1.04962,0.94858,1.10136,1.02221
2003-05-30,1.22383,0.97906,1.11664,1.00329,1.181,0.93193,0.94471,0.95378,1.00468,0.96685,1.05774,0.95007,1.09888,1.03722
2003-06-02,1.26895,0.98797,1.10058,1.01505,1.1812,0.94955,0.97064,0.96146,1.01513,0.98093,1.06139,0.973,1.11798,1.04089
2003-06-03,1.27798,0.9842,1.11065,1.01375,1.1705,0.94678,0.95869,0.95415,1.00426,0.98292,1.06403,0.95535,1.09551,1.0458
2003-06-04,1.26715,0.98612,1.14126,1.02399,1.17939,0.95439,0.97554,0.9645,1.00772,0.98216,1.08784,0.96034,1.07023,1.0616
2003-06-05,1.26895,0.98859,1.14642,1.0289,1.16601,0.94511,0.96279,0.9782,1.00487,0.99356,1.08525,0.96351,1.07458,1.0658
2003-06-10,1.31588,0.99343,1.15591,1.03004,1.15291,0.96062,0.99464,0.9864,1.00995,1.00869,1.0934,0.97456,1.02775,1.0601
2003-06-11,1.33032,0.99834,1.15449,1.03854,1.1732,0.97247,1.00662,0.99392,1.01794,1.02031,1.10203,0.97687,1.02317,1.0737
2003-06-12,1.37906,1.00306,1.16331,1.03943,1.1704,0.9819,1.01971,1.00072,1.02195,1.02356,1.11479,0.98686,1.01273,1.07481
2003-06-13,1.38628,1.00397,1.1426,1.02535,1.17389,0.96844,1.00363,1.00577,1.01486,1.03068,1.10281,0.9978,1.03443,1.06415
2003-06-17,1.4296,1.012,1.14617,1.04149,1.16671,0.99703,1.04093,1.02883,1.0329,1.03669,1.1258,1.01192,1.07839,1.08897
2003-06-18,1.3917,1.00481,1.12404,1.03893,1.16423,1.00114,1.04653,1.02881,1.04109,1.04357,1.12504,1.01356,1.07243,1.08728
2003-06-20,1.44585,1.00458,1.09243,1.03417,1.14595,0.99372,1.02589,1.04936,1.03728,1.04672,1.11798,1.02926,1.04119,1.07178
2003-06-23,1.45487,1.00543,1.08078,1.02595,1.13238,0.97164,1.00923,1.03793,1.01271,1.04864,1.10762,1.01182,1.03767,1.05665
2003-06-24,1.43502,0.99785,1.09052,1.02217,1.13318,0.96669,1.01903,1.03375,1.0174,1.02363,1.1233,0.99595,1.03857,1.0586
2003-06-25,1.43141,0.99685,1.08369,1.0195,1.12542,0.96836,1.01317,1.05469,1.02187,1.02513,1.11761,1.01098,1.03697,1.04985
2003-06-26,1.33213,0.98468,1.09085,1.02254,1.13539,0.96673,1.0266,1.06522,1.01463,1.02411,1.12395,1.01356,1.05508,1.06115
2003-06-27,1.32491,0.99135,1.08353,1.02074,1.12165,0.96846,1.02135,1.07442,1.01378,1.04484,1.11842,1.01585,1.06024,1.05082
2003-06-30,1.38267,0.98423,1.07928,1.02132,1.11339,0.9607,1.02006,1.08163,0.99699,1.04244,1.11392,1.00483,1.05089,1.04897
2003-07-02,1.35199,0.98586,1.10732,1.02238,1.12363,0.95913,1.02654,1.07991,0.98751,1.10087,1.13114,1.02863,1.03221,1.06969
2003-07-03,1.30144,0.99005,1.09268,1.02377,1.12719,0.96319,1.02682,1.09146,0.98371,1.10461,1.12536,1.03018,1.03566,1.06102
2003-07-07,1.33394,0.98592,1.11498,1.0338,1.12497,0.99125,1.05562,1.08325,1.00945,1.12416,1.13919,1.05637,0.99947,1.08117
2003-07-08,1.30144,0.98712,1.13303,1.0369,1.13287,0.98994,1.0593,1.0884,1.0103,1.13604,1.14234,1.06244,1.01831,1.08485
2003-07-10,1.27437,0.9894,1.12321,1.03425,1.14779,0.96512,1.03566,1.10337,0.99851,1.14257,1.1204,1.0507,1.00409,1.06425
2003-07-11,1.28339,0.98972,1.10824,1.03515,1.14548,0.97757,1.05361,1.10236,1.00728,1.10582,1.11848,1.05616,1.00942,1.07441
2003-07-14,1.27978,0.99954,1.13045,1.04076,1.13991,0.99376,1.07564,1.1157,1.01695,1.11962,1.13169,1.08008,1.02911,1.08057
2003-07-15,1.2509,1.00211,1.13261,1.04078,1.14293,0.99036,1.07204,1.10539,1.01588,1.11909,1.12424,1.07011,1.05419,1.07687
2003-07-16,1.25993,1.00647,1.12205,1.03579,1.14596,0.98145,1.07297,1.11597,1.01307,1.11737,1.10902,1.07465,1.04191,1.07005
2003-07-18,1.34116,1.00267,1.14759,1.04057,1.12923,0.97475,1.06634,1.09376,1.01244,1.09347,1.1101,1.04896,1.04824,1.06922
2003-07-22,1.34657,0.99711,1.151,1.05088,1.12273,0.96335,1.05096,1.06574,1.00586,1.08867,1.13118,1.04948,1.01807,1.06362
2003-07-23,1.35018,1.00328,1.148,1.05763,1.12548,0.96235,1.04663,1.07287,1.0026,1.10352,1.14955,1.04354,1.01028,1.06415
2003-07-24,1.32852,1.00497,1.14484,1.06056,1.11896,0.98336,1.06891,1.09991,1.01156,1.10991,1.15409,1.05434,1.01138,1.05661
2003-07-25,1.32491,1.00754,1.14393,1.0622,1.10712,0.96855,1.06323,1.11742,1.00274,1.10727,1.1605,1.05757,1.0197,1.07499
2003-07-28,1.32852,1.01431,1.13502,1.06541,1.10168,0.98588,1.08251,1.1214,1.01164,1.12929,1.15485,1.07663,1.02327,1.07267
2003-07-29,1.37004,1.01054,1.13336,1.05705,1.10686,0.97886,1.08579,1.1288,1.00078,1.12865,1.14206,1.08342,1.01168,1.06488
